lab,with_reference,without_reference
escompicbsleipzig,42.6,NA
babylabreading,45,35
jmucdl,58,37
infantcoglablouisville,51,37.5
babylabvuw,56.9,37.6
ethosrennes,57.5,31
dcnlabtennessee,65,20
langlabucla,65,41
bounbcl,66,35
infantcogubc,66,49
musdevutm,66,20
babylabumassb,67,39.2
baldwinlabuoregon,67,34.5
callab,67,44
minddevlabbicocca,67,33
bchdosu,67.5,NA
cfnuofn,68,30.5
childlabmanchester,68,37
wsigoettingen,68,32
lppparisdescartes2,69,38
babylabkingswood,70,34.5
cogdevlabbyu,70,24.4
icclbc,70,35
labunam,70,30
unlvmusiclab,70,35
ileap,70,NA
trainorlab,70,49
chosunbaby,70.2,30
weescienceedinburgh,70.3,39.3
infantllmadison,70.4,27.5
babylabparisdescartes1,70.5,33.5
babylablmu,70.5,44
babylabkonstanz,70.8,35.4
infantlanglabutk,71,28
babylabuclajohnson,71,NA
lcduleeds,71.5,38.5
babylingoslo,72,50
irlconcordia,72,28
isplabmcgill,72,37
babylabnijmegen,35,18
bllumanitoba,73,35
islnotredame,73,43.5
babylabpotsdam,74,35
babylabutrecht,75,35.6
pocdnorthwestern,75,60
madlabucsd,75.4,43.9
babylabyork,76,30
lscppsl,78,37.6
babylableiden,79,38
babylabshimane,70,50
infantstudiesubc,81.5,31.3
babylabbrookes,NA,NA
babylablangessex,NA,NA
babylabplymouth,NA,NA
babylabprinceton,NA,NA
bcrlunlv,NA,NA
cdcceu,NA,NA
earlysocogfm,NA,NA
kokuhamburg,NA,NA
kyotobabylab,NA,NA
lancaster,NA,NA
lcdfsu,NA,NA
ldlottawa,NA,NA
lllliv,NA,NA
nusinfantlanguagecentre,NA,NA
purdueinfantspeech,NA,NA
udssaarland,NA,NA
weltentdeckerzurich,NA,NA
socialcogumiami,NA,NA
