lab,language,language_harmonized,country
babylabbrookes,British English,English (UK),UK
babylabkingswood,Australian English,English (AUS),Australia
babylabkonstanz,German,German,Germany
babylablangessex,British English,English (UK),UK
babylableiden,Dutch,Dutch,Netherlands
babylablmu,German,German,Germany
babylabnijmegen,Dutch,Dutch,Netherlands
babylabparisdescartes1,French,French,France
babylabplymouth,British English,English (UK),UK
babylabpotsdam,German,German,Germany
babylabprinceton,American English,English (US),US
babylabreading,British English,English (UK),UK
babylabshimane,Japanese,Japanese,Japan
babylabuclajohnson,American English,English (US),US
babylabumassb,American English,English (US),US
babylabutrecht,Dutch,Dutch,Netherlands
babylabvuw,Australian English,English (AUS),Australia
babylabyork,British English,English (UK),UK
babylingoslo,Norwegian,Norwegian,Norway
baldwinlabuoregon,American English,English (US),US
bchdosu,American English,English (US),US
bcrlunlv,American English,English (US),US
bllumanitoba,Canadian English,English (CAN),Canada
bounbcl,Turkish,Turkish,Turkey
callab,American English,English (US),US
cdcceu,Hungarian,Hungarian,Hungary
cfnuofn,Australian English,English (AUS),Australia
childlabmanchester,British English,English (UK),UK
chosunbaby,Korean,Korean,Korea
cogdevlabbyu,American English,English (US),US
dcnlabtennessee,American English,English (US),US
earlysocogfm,American English,English (US),US
escompicbsleipzig,German,German,Germany
ethosrennes,French,French,France
icclbc,American English,English (US),US
ileap,American English,English (US),US
infantcoglablouisville,American English,English (US),US
infantcogubc,Canadian English,English (CAN),Canada
infantlanglabutk,American English,English (US),US
infantllmadison,American English,English (US),US
infantstudiesubc,Canadian English,English (CAN),Canada
irlconcordia,Canadian English,English (CAN),Canada
islnotredame,American English,English (US),US
isplabmcgill,Canadian French,French (CAN),Canada
jmucdl,American English,English (US),US
kokuhamburg,German,German,Germany
kyotobabylab,Japanese,Japanese,Japan
labunam,Mexican Spanish,Spanish (MEX),Mexico
lancaster,British English,English (UK),UK
langlabucla,American English,English (US),US
lcdfsu,American English,English (US),US
lcduleeds,British English,English (UK),UK
ldlottawa,Canadian English,English (CAN),Canada
lllliv,British English,English (UK),UK
lppparisdescartes2,French,French,France
lscppsl,French,French,France
madlabucsd,American English,English (US),US
minddevlabbicocca,Italian,Italian,Italy
musdevutm,Canadian English,English (CAN),Canada
pocdnorthwestern,American English,English (US),US
purdueinfantspeech,American English,English (US),US
socialcogumiami,American English,English (US),US
trainorlab,Canadian English,English (CAN),Canada
udssaarland,German,German,Germany
unlvmusiclab,American English,English (US),US
weescienceedinburgh,British English,English (UK),UK
weltentdeckerzurich,Swiss German,German (Swiss),Switzerland
wsigoettingen,German,German,Germany
nusinfantlanguagecentre,Mandarin,Mandarin,Singapore
