lab,subid,fussiness_kind,trials_recoded_as_error
babylabbrookes,mb95,global fussiness,no
babylabnijmegen,ba04912,global fussiness,no
babylabnijmegen,ba11912,global fussiness,no
babylabnijmegen,ba2169,global fussiness,no
babylabnijmegen,ba21912,global fussiness,no
babylabnijmegen,ba23912,global fussiness,no
babylabnijmegen,ba2469,global fussiness,no
babylabnijmegen,ba2569,global fussiness,no
babylabnijmegen,ba25912,global fussiness,no
babylabnijmegen,ba26912,global fussiness,no
babylabnijmegen,ba27912,global fussiness,no
babylabnijmegen,ba29912,global fussiness,no
babylabreading,mb3,global fussiness,no
babylabuclajohnson,10055,global fussiness,yes
babylabuclajohnson,10586,global fussiness,yes
cfnuofn,cfn009,no trials contributed,no
cfnuofn,cfn021,no trials contributed,no
cfnuofn,cfn041,no trials contributed,no
cfnuofn,cfnzkb,no trials contributed,no
chosunbaby,h01o01,no trials contributed,no
chosunbaby,h03o02,no trials contributed,no
chosunbaby,h04y02,no trials contributed,no
chosunbaby,h05y03,no trials contributed,no
chosunbaby,h18y14,no trials contributed,no
chosunbaby,h19y15,no trials contributed,no
chosunbaby,h24o05,no trials contributed,no
chosunbaby,h26o07,no trials contributed,no
chosunbaby,h28y21,no trials contributed,no
chosunbaby,h34o10,no trials contributed,no
chosunbaby,h37o12,no trials contributed,no
chosunbaby,h54y37,no trials contributed,no
chosunbaby,h69y47,no trials contributed,no
infantcogubc,ff08,no trials contributed,no
infantcogubc,tp13,global fussiness,yes
isplabmcgill,m19,no trials contributed,no
lcduleeds,mb13,global fussiness,no
ldlottawa,mbms68,global fussiness,no
lscppsl,28lscppsl,no trials contributed,no
madlabucsd,mb14,global fussiness,no
minddevlabbicocca,mb04,global fussiness,yes
pocdnorthwestern,mb17,no trials contributed,no
pocdnorthwestern,mb27,no trials contributed,no
pocdnorthwestern,mb36,no trials contributed,no
trainorlab,s28,global fussiness,no
udssaarland,3,global fussiness,yes
udssaarland,20,global fussiness,yes
udssaarland,46,global fussiness,yes
udssaarland,64,global fussiness,yes
weltentdeckerzurich,mb13968,no trials contributed,no
