lab,subid,session_error_recoded,session_error_change_reason
babylabbrookes,mb102,1,experiment ended early
babylabbrookes,mb104,1,experiment ended early
babylabbrookes,mb12,1,experiment ended early
babylabbrookes,mb13,1,experiment ended early
babylabbrookes,mb14,1,trial level error
babylabbrookes,mb30,1,trial level error
babylabbrookes,mb45,1,experiment ended early
babylabbrookes,mb53,1,experiment ended early
babylabbrookes,mb55,1,experiment ended early
babylabbrookes,mb66,1,trial level error
babylabbrookes,mb84,1,experiment ended early
babylabbrookes,mb95,1,fussiness handled at trial level
babylablangessex,mb121504,1,language exclusion
babylablangessex,mb121508,1,language exclusion
babylablangessex,mb6906,1,age exclusion - out of age range
babylablangessex,mb91207,1,language exclusion
babylablmu,1,1,pilot exclusion
babylablmu,2,1,pilot exclusion
babylablmu,3,1,pilot exclusion
babylablmu,8,1,language exclusion
babylablmu,11,1,pilot exclusion
babylablmu,12,1,pilot exclusion
babylablmu,28,1,pilot exclusion
babylablmu,29,1,pilot exclusion
babylablmu,43,1,age exclusion - out of age range
babylablmu,48,1,language exclusion
babylablmu,49,1,age exclusion - in age range
babylablmu,64,1,pilot exclusion
babylablmu,67,1,pilot exclusion
babylablmu,68,1,pilot exclusion
babylablmu,81,1,pilot exclusion
babylabnijmegen,ba0469,1,trial level error
babylabnijmegen,ba04912,1,fussiness handled at trial level
babylabnijmegen,ba05912,1,trial level error
babylabnijmegen,ba1069,1,trial level error
babylabnijmegen,ba11912,1,fussiness handled at trial level
babylabnijmegen,ba2169,1,fussiness handled at trial level
babylabnijmegen,ba21912,1,fussiness handled at trial level
babylabnijmegen,ba23912,1,fussiness handled at trial level
babylabnijmegen,ba2469,1,fussiness handled at trial level
babylabnijmegen,ba2569,1,fussiness handled at trial level
babylabnijmegen,ba25912,1,fussiness handled at trial level
babylabnijmegen,ba26912,1,fussiness handled at trial level
babylabnijmegen,ba27912,1,fussiness handled at trial level
babylabnijmegen,ba29912,1,fussiness handled at trial level
babylabplymouth,mb1108,1,experiment ended early
babylabreading,mb3,1,fussiness handled at trial level
babylabshimane,102,1,experiment ended early
babylabuclajohnson,9709,1,age exclusion - out of age range
babylabuclajohnson,10055,1,fussiness handled at trial level
babylabuclajohnson,10586,1,fussiness handled at trial level
babylabutrecht,701,1,trial level error
babylabutrecht,702,1,trial level error
babylabutrecht,710,1,trial level error
babylabutrecht,901,1,trial level error
babylabutrecht,906,1,trial level error
babylabutrecht,1002,1,trial level error
babylabutrecht,1009,1,trial level error
babylabutrecht,1104,1,experiment ended early
babylabutrecht,1105,1,trial level error
babylabvuw,p01,1,pilot exclusion
babylabvuw,p02,1,language exclusion
babylabvuw,s01,1,age exclusion - in age range
babylabvuw,s04,1,language exclusion
bcrlunlv,mb0202,1,language exclusion
bcrlunlv,mb1204,1,preterm exclusion
bcrlunlv,mb2204,1,preterm exclusion
bcrlunlv,mb2401,1,trial level error
bounbcl,mb101,1,pilot exclusion
bounbcl,mb110,1,preterm exclusion
bounbcl,mb116,1,language exclusion
bounbcl,mb119,1,language exclusion
bounbcl,mb122,1,language exclusion
bounbcl,mb124,1,language exclusion
bounbcl,mb126,1,preterm exclusion
callab,callab4,1,preterm exclusion
cfnuofn,cfn009,1,fussiness handled at trial level
cfnuofn,cfn021,1,fussiness handled at trial level
cfnuofn,cfn041,1,fussiness handled at trial level
cfnuofn,cfnzkb,1,fussiness handled at trial level
childlabmanchester,mb6,1,preterm exclusion
chosunbaby,h01o01,1,fussiness handled at trial level
chosunbaby,h03o02,1,fussiness handled at trial level
chosunbaby,h04y02,1,fussiness handled at trial level
chosunbaby,h05y03,1,fussiness handled at trial level
chosunbaby,h18y14,1,fussiness handled at trial level
chosunbaby,h19y15,1,fussiness handled at trial level
chosunbaby,h24o05,1,fussiness handled at trial level
chosunbaby,h26o07,1,fussiness handled at trial level
chosunbaby,h28y21,1,fussiness handled at trial level
chosunbaby,h34o10,1,fussiness handled at trial level
chosunbaby,h37o12,1,fussiness handled at trial level
chosunbaby,h54y37,1,fussiness handled at trial level
chosunbaby,h69y47,1,fussiness handled at trial level
cogdevlabbyu,p08,1,experiment ended early
cogdevlabbyu,p14,1,experiment ended early
cogdevlabbyu,p20,1,experiment ended early
cogdevlabbyu,p47,1,experiment ended early
cogdevlabbyu,p62,1,language exclusion
earlysocogfm,s02,1,trial level error
earlysocogfm,s10,1,experiment ended early
earlysocogfm,s13,1,experiment ended early
earlysocogfm,s50,1,experiment ended early
escompicbsleipzig,mb08,1,language exclusion
escompicbsleipzig,mb09,1,language exclusion
escompicbsleipzig,mb15,1,language exclusion
escompicbsleipzig,mb16,1,language exclusion
ethosrennes,ae536,1,language exclusion
ethosrennes,fe435,1,experiment ended early
ethosrennes,gu798,1,language exclusion
ethosrennes,ie559,1,language exclusion
ethosrennes,jg309,1,language exclusion
ethosrennes,jq549,1,experiment ended early
ethosrennes,pu921,1,language exclusion
ethosrennes,ue919,1,preterm exclusion
ethosrennes,zd122,1,experiment ended early
ileap,e48s010,1,age exclusion - out of age range
infantcoglablouisville,234573,1,trial level error
infantcoglablouisville,234580,1,experiment ended early
infantcoglablouisville,234889,1,trial level error
infantcoglablouisville,236607,1,trial level error
infantcogubc,ac31,1,language exclusion
infantcogubc,ff08,1,fussiness handled at trial level
infantcogubc,tp13,1,fussiness handled at trial level
infantlanglabutk,mbir134fs7,1,preterm exclusion
infantlanglabutk,mbir64ms9,1,language exclusion
infantllmadison,mb009,1,trial level error
infantllmadison,mb012,1,trial level error
infantstudiesubc,mbm12,1,language exclusion
infantstudiesubc,mbm18,1,language exclusion
irlconcordia,mb12s07,1,age exclusion - in age range
irlconcordia,mb12s09,1,language exclusion
irlconcordia,mb12s40,1,language exclusion
irlconcordia,mb6s12,1,trial level error
irlconcordia,mb6s18,1,language exclusion
islnotredame,p38mb21,1,language exclusion
isplabmcgill,m19,1,fussiness handled at trial level
jmucdl,40018,1,language exclusion
kokuhamburg,mb01,1,language exclusion
lancaster,14mb01,1,language exclusion
lancaster,14mb03,1,trial level error
lancaster,14mb12,1,trial level error
lancaster,14mb21,1,trial level error
lancaster,14mb25,1,trial level error
lancaster,8mb01,1,pilot exclusion
lancaster,8mb02,1,pilot exclusion
lancaster,8mb03,1,pilot exclusion
lancaster,8mb04,1,trial level error
lancaster,8mb10,1,trial level error
lancaster,8mb18,1,no error
langlabucla,mb1205,1,language exclusion
langlabucla,mb1209,1,language exclusion
langlabucla,mb1211,1,language exclusion
langlabucla,mb1216,1,language exclusion
langlabucla,mb301,1,language exclusion
langlabucla,mb909,1,language exclusion
langlabucla,mb923,1,age exclusion - in age range
langlabucla,mb924,1,language exclusion
langlabucla,mb927,1,preterm exclusion
lcdfsu,lcd012,1,trial level error
lcdfsu,lcd013,1,experiment ended early
lcdfsu,lcd018,1,experiment ended early
lcdfsu,lcd020,1,experiment ended early
lcdfsu,lcd029,1,trial level error
lcduleeds,mb13,1,fussiness handled at trial level
ldlottawa,mbms12,1,age exclusion - out of age range
ldlottawa,mbms14,1,experiment ended early
ldlottawa,mbms19,1,experiment ended early
ldlottawa,mbms20,1,age exclusion - out of age range
ldlottawa,mbms21,1,age exclusion - out of age range
ldlottawa,mbms23,1,trial level error
ldlottawa,mbms28,1,experiment ended early
ldlottawa,mbms34,1,preterm exclusion
ldlottawa,mbms35,1,preterm exclusion
ldlottawa,mbms36,1,experiment ended early
ldlottawa,mbms39,1,age exclusion - out of age range
ldlottawa,mbms40,1,experiment ended early
ldlottawa,mbms43,1,experiment ended early
ldlottawa,mbms44,1,experiment ended early
ldlottawa,mbms49,1,preterm exclusion
ldlottawa,mbms52,1,trial level error
ldlottawa,mbms55,1,experiment ended early
ldlottawa,mbms57,1,age exclusion - out of age range
ldlottawa,mbms58,1,age exclusion - out of age range
ldlottawa,mbms59,1,age exclusion - out of age range
ldlottawa,mbms65,1,experiment ended early
ldlottawa,mbms68,1,fussiness handled at trial level
ldlottawa,mbms72,1,trial level error
ldlottawa,mbms85,1,trial level error
ldlottawa,mbms86,1,experiment ended early
lllliv,mb003,1,age exclusion - in age range
lllliv,mb007,1,age exclusion - in age range
lllliv,mb011,1,experiment ended early
lllliv,mb036,1,age exclusion - out of age range
lllliv,mb037,1,age exclusion - out of age range
lllliv,mb038,1,age exclusion - out of age range
lllliv,mb040,1,experiment ended early
lllliv,mb042,1,age exclusion - out of age range
lllliv,mb047,1,experiment ended early
lllliv,mb065,1,fussiness handled at trial level
lllliv,mb072,1,experiment ended early
lllliv,mb076,1,experiment ended early
lppparisdescartes2,mb01jv,1,trial level error
lppparisdescartes2,mb02mg,1,trial level error
lppparisdescartes2,mb08ml,1,trial level error
lppparisdescartes2,mb09abd,1,trial level error
lppparisdescartes2,mb13tr,1,trial level error
lppparisdescartes2,mb15af,1,trial level error
lppparisdescartes2,mb16gc,1,trial level error
lppparisdescartes2,mb21np,1,trial level error
lppparisdescartes2,mb27cbg,1,trial level error
lppparisdescartes2,mb28sh,1,trial level error
lppparisdescartes2,mb29mc,1,experiment ended early
lppparisdescartes2,mb30ph,1,trial level error
lscppsl,19lscppsl,1,experiment ended early
lscppsl,28lscppsl,1,fussiness handled at trial level
lscppsl,39lscppsl,1,experiment ended early
madlabucsd,mb02,1,language exclusion
madlabucsd,mb03,1,trial level error
madlabucsd,mb04,1,trial level error
madlabucsd,mb07,1,trial level error
madlabucsd,mb09,1,language exclusion
madlabucsd,mb12,1,language exclusion
madlabucsd,mb14,1,fussiness handled at trial level
minddevlabbicocca,mb04,1,fussiness handled at trial level
