filename,labid,preterm_fix
Babylab_nijmegen_participants,babylabnijmegen,all_full_term
babylab_plymouth Participants,babylabplymouth,all_full_term
Babylab_princeton_participants,babylabprinceton,40
Babylab-brookes_participants_6-9m (also 3-6 and 12-14),babylabbrookes,all_full_term
babylab-konstanz_ParticipantData,babylabkonstanz,all_full_term
Babylab-lancaster-14mo-particpants & Babylab-lancaster-8mo-participants,lancaster,all_full_term
,babylableiden,37
babylab-parisdescartes1,babylabparisdescartes1,all_full_term
,babylabkingswood,all_full_term
infantstudies-ubc,infantstudiesubc,all_full_term
Babylab_parisdescartes2_participants_6-9,lppparisdescartes2,all_full_term
babylab-potsdam_participants,babylabpotsdam,40
bablylab-shimane,babylabshimane,40
BabyLab-UCLA_Johnson - Participants Data,babylabuclajohnson,40
babylab_Utrecht,babylabutrecht,40
babylab-vuw_6-9months_ParticipantData,babylabvuw,all_full_term
babylab-york ManyBabies 1 Participants Data,babylabyork,40
babylablang-essex,babylablangessex,40
babyling_oslo_6-9months_participantdata,babylingoslo,all_full_term
baldwinlab-uoregon_Participant_Data,baldwinlabuoregon,40
,bchdosu,37
bcrl-unlv_ParticipantData,bcrlunlv,40
bll-umanitoba ManyBabies 1 Individual Lab Participants Data,bllumanitoba,all_full_term
callab,callab,40
cdc-ceu_Participants Data,cdcceu,40
"Chosunbaby_6-9_participant, 12-15",chosunbaby,37
dcnlab-tennessee participants,dcnlabtennessee,40
"Earlysocog-fm_6-9_participant (also 9-12, 12-15)",earlysocogfm,40
ldl-ottawa_Monolingual ManyBabies Individual Lab Participants Data,ldlottawa,all_full_term
esco-mpicbsleipzig-Participant_Data,escompicbsleipzig,all_full_term
ethos-rennes_ParticipantsData,ethosrennes,37
iLEAP Lab_12-15 mos_Individual Lab Participants Data,ileap,37
InfantCog-UBC_3-6_participantdata (and 6-9 X2!),infantcogubc,all_full_term
infantcoglab-louisville_9-12 mos_participant,infantcoglablouisville,40
Infantll-madison_participants,infantllmadison,all_full_term
irl-concordia_Monolingual_Participant_Info,irlconcordia,all_full_term
isl_notredame_Participants Data,islnotredame,37
,isplabmcgill,40
JMUCDL Participant Worksheet,jmucdl,40
Koku-hamburg_6-9mos_participant_data (and 12-15),kokuhamburg,all_full_term
Kyotobabylabparticipant,kyotobabylab,all_full_term
"Labunam 6-9, 12-15 months",labunam,37
langlab-ucla - ManyBabies 1 Individual Lab Participants Data,langlabucla,37
Leeds-lcdu_12-15mos_participantdata.csv,lcduleeds,all_full_term
LLL_Liv_Participants.csv,lllliv,all_full_term
MaDLab-UCSD_6-9mo_ParticipantData,madlabucsd,37
Manchester_MB_info,childlabmanchester,40
ManyBabies 1 Participant Data LMU,babylablmu,all_full_term
MB1.participant.babylab-reading,babylabreading,37
midevlab-bicocca_ParticipantData,minddevlabbicocca,all_full_term
musdev-utm_ParticipantData,musdevutm,all_full_term
Musiclab-unlv_3-6mos_participantdata,unlvmusiclab,40
Participant_Data_LCD_FSU,lcdfsu,40
POCD.Northwestern.Participant.Data,pocdnorthwestern,37
Purdue-infant-speech_9-12mos_participants (and 12-15 months),purdueinfantspeech,40
socialcog-umiami - Participants,socialcogumiami,40
trainorlab-mcmaster_ParticipantData,trainorlab,40
weltentdecker-zurich,weltentdeckerzurich,37
Uds-saarland_participants,udssaarland,all_full_term
"Umb-babylab-participantdata-12-15 (also 6-9,9-12)",babylabumassb,all_full_term
"Infantlanglab-utk (6-9,12-15)",infantlanglabutk,40
weescience-edinburgh_ParticipantInfo,weescienceedinburgh,37
wsi-goettingen_participants_data,wsigoettingen,40
,bounbcl,40
,cfnuofn,40
,cogdevlabbyu,40
,icclbc,37
,lscppsl,41
