lab,subid,trialcount,rowcount,trial_error,present_td,lines_in_pd,age_days,notes,session_error_type,present_pd,Confirmed,Explanation,Drop or Keep
callab,callab42,NA,NA,NA,FALSE,1,456,"(1) appointment was rescheduled by RAs and participant aged out of study unbenknownest to the experimenter, (2) a file writing error meant eyetracking data was not properly saved for this participant",(1) age exclusion (2) experimenter error,TRUE,X,(1) age exclusion (2) experimenter error,RealParticipantNoTrials
pocdnorthwestern,mb27,NA,NA,NA,FALSE,1,442,"clingly to mom, didn't want to look at screen",fussed out during calibration,TRUE,X,fussed out during calibration,RealParticipantNoTrials
cogdevlabbyu,p11,NA,NA,NA,FALSE,1,173,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p23,NA,NA,NA,FALSE,1,234,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p25,NA,NA,NA,FALSE,1,94,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p28,NA,NA,NA,FALSE,1,120,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p29,NA,NA,NA,FALSE,1,93,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p35,NA,NA,NA,FALSE,1,117,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p36,NA,NA,NA,FALSE,1,102,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p39,NA,NA,NA,FALSE,1,134,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p48,NA,NA,NA,FALSE,1,130,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p49,NA,NA,NA,FALSE,1,177,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p53,NA,NA,NA,FALSE,1,176,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p54,NA,NA,NA,FALSE,1,162,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p56,NA,NA,NA,FALSE,1,98,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p58,NA,NA,NA,FALSE,1,203,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p59,NA,NA,NA,FALSE,1,164,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p61,NA,NA,NA,FALSE,1,124,Couldn't Calibrate,Calibration Error,TRUE,X,,RealParticipantNoTrials
pocdnorthwestern,mb37,NA,NA,NA,FALSE,1,439,"did great, but ended early, started to get fussy",NA,TRUE,,,
isplabmcgill,m19,NA,NA,NA,FALSE,1,378,Did not complete any trials; too fussy,Incomplete data,TRUE,X,Did not complete any trials; too fussy,RealParticipantNoTrials
lscppsl,28lscppsl,NA,NA,NA,FALSE,1,447,didn't test - didn't want the sticker,refusal,TRUE,X,,RealParticipantNoTrials
pocdnorthwestern,mb17,NA,NA,NA,FALSE,1,405,fussed out during calibrartion,fussed out during calibrartion,TRUE,X,fussed out during calibrartion,RealParticipantNoTrials
babylablmu,78,NA,NA,NA,FALSE,1,NA,NA,subject number not used,TRUE,X,subject number not used,NotData
babylabumassb,mbpumb014142597,NA,NA,NA,FALSE,1,414,NA,corruptdata,TRUE,X,corruptdata,RealParticipantNoTrials
cogdevlabbyu,p18,NA,NA,NA,FALSE,1,193,NA,no data,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p31,NA,NA,NA,FALSE,1,133,NA,no data,TRUE,X,,RealParticipantNoTrials
cogdevlabbyu,p41,NA,NA,NA,FALSE,1,141,NA,no data,TRUE,X,,RealParticipantNoTrials
earlysocogfm,p01,NA,NA,NA,FALSE,1,384,NA,got fussy and ended session early; pilot,TRUE,X,,PilotParticipant
earlysocogfm,p02,NA,NA,NA,FALSE,1,526,NA,got fussy and ended session early; pilot,TRUE,X,,PilotParticipant
earlysocogfm,p03,NA,NA,NA,FALSE,1,777,NA,computer for jHab stopped working and locked out. So we had to use our own intuition to see if child was looking away; pilot,TRUE,X,,PilotParticipant
earlysocogfm,p04,NA,NA,NA,FALSE,1,513,NA,ended session early because child kept trying to leave ; pilot,TRUE,X,,PilotParticipant
earlysocogfm,p05,NA,NA,NA,FALSE,1,461,NA,"child was fussy from the start, ended early ; pilot",TRUE,X,,PilotParticipant
earlysocogfm,p06,NA,NA,NA,FALSE,1,418,NA,NA; pilot,TRUE,X,,PilotParticipant
earlysocogfm,p07,NA,NA,NA,FALSE,1,423,NA,got fussy and ended session early; pilot,TRUE,X,,PilotParticipant
earlysocogfm,p08,NA,NA,NA,FALSE,1,799,NA,got fussy and ended session early; pilot,TRUE,X,,PilotParticipant
