lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type
JMU_CDL,40-008,Training,training1,-2,8.73,18,noerror,NA
JMU_CDL,40-008,Training,training2,-1,5.08,18,noerror,NA
JMU_CDL,40-008,IDS,IDS1,1,2.57,18,noerror,NA
JMU_CDL,40-008,ADS,ADS1,2,1.86,18,noerror,NA
JMU_CDL,40-008,IDS,IDS2,3,0,18,noerror,NA
JMU_CDL,40-008,ADS,ADS2,4,1.16,18,noerror,NA
JMU_CDL,40-008,ADS,ADS3,5,5.56,18,noerror,NA
JMU_CDL,40-008,IDS,IDS3,6,0.71,18,noerror,NA
JMU_CDL,40-008,IDS,IDS4,7,NC,0,noerror,NA
JMU_CDL,40-008,ADS,ADS4,8,NC,0,noerror,NA
JMU_CDL,40-008,ADS,ADS5,9,NC,0,noerror,NA
JMU_CDL,40-008,IDS,IDS5,10,NC,0,noerror,NA
JMU_CDL,40-008,ADS,ADS6,11,NC,0,noerror,NA
JMU_CDL,40-008,IDS,IDS6,12,NC,0,noerror,NA
JMU_CDL,40-008,IDS,IDS7,13,NC,0,noerror,NA
JMU_CDL,40-008,ADS,ADS7,14,NC,0,noerror,NA
JMU_CDL,40-008,ADS,ADS8,15,NC,0,noerror,NA
JMU_CDL,40-008,IDS,IDS8,16,NC,0,noerror,NA
JMU_CDL,40-004,Training,training1,-2,8.72,18,noerror,NA
JMU_CDL,40-004,Training,training2,-1,3.48,18,noerror,NA
JMU_CDL,40-004,IDS,IDS1,1,3.12,18,noerror,NA
JMU_CDL,40-004,ADS,ADS1,2,1.34,12,noerror,NA
JMU_CDL,40-004,IDS,IDS2,3,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS2,4,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS3,5,NC,0,noerror,NA
JMU_CDL,40-004,IDS,IDS3,6,NC,0,noerror,NA
JMU_CDL,40-004,IDS,IDS4,7,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS4,8,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS5,9,NC,0,noerror,NA
JMU_CDL,40-004,IDS,IDS5,10,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS6,11,NC,0,noerror,NA
JMU_CDL,40-004,IDS,IDS6,12,NC,0,noerror,NA
JMU_CDL,40-004,IDS,IDS7,13,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS7,14,NC,0,noerror,NA
JMU_CDL,40-004,ADS,ADS8,15,NC,0,noerror,NA
JMU_CDL,40-004,IDS,IDS8,16,NC,0,noerror,NA
JMU_CDL,40_021,Training,training1,-2,6.2,18,noerror,NA
JMU_CDL,40_021,Training,training2,-1,2.64,18,error,fussy
JMU_CDL,40_021,IDS,IDS1,1,NC,0,noerror,NA
JMU_CDL,40_021,ADS,ADS1,2,NC,0,noerror,NA
JMU_CDL,40_021,IDS,IDS2,3,NC,0,noerror,NA
JMU_CDL,40_021,ADS,ADS2,4,NC,0,noerror,NA
JMU_CDL,40_021,ADS,ADS3,5,NC,0,noerror,NA
JMU_CDL,40_021,IDS,IDS3,6,NC,0,noerror,NA
JMU_CDL,40_021,IDS,IDS4,7,NC,0,noerror,NA
JMU_CDL,40_021,ADS,ADS4,8,NC,0,noerror,NA
