,lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,notes
0,childlab-manchester,mb01b,training,train1,-2,5.676,9.542,noerror,
1,childlab-manchester,mb01b,training,train2,-1,1.014,3.018,noerror,
2,childlab-manchester,mb01b,IDS,IDS1,1,3.832,5.832,noerror,
3,childlab-manchester,mb01b,ADS,ADS1,2,0,2,noerror,No Looking
4,childlab-manchester,mb01b,IDS,IDS2,3,2.776,4.778,noerror,
5,childlab-manchester,mb01b,ADS,ADS2,4,3.452,5.452,noerror,
6,childlab-manchester,mb01b,ADS,ADS3,5,0,2,error,"No Looking, fussing"
7,childlab-manchester,mb01b,IDS,IDS3,6,0,2,error,"No Looking, fussing"
8,childlab-manchester,mb01b,NA,NA,7,NC,NC,error,aborted experiment
9,childlab-manchester,mb01b,NA,NA,8,NC,NC,error,aborted experiment
10,childlab-manchester,mb01b,NA,NA,9,NC,NC,error,aborted experiment
11,childlab-manchester,mb01b,NA,NA,10,NC,NC,error,aborted experiment
12,childlab-manchester,mb01b,NA,NA,11,NC,NC,error,aborted experiment
13,childlab-manchester,mb01b,NA,NA,12,NC,NC,error,aborted experiment
14,childlab-manchester,mb01b,NA,NA,13,NC,NC,error,aborted experiment
15,childlab-manchester,mb01b,NA,NA,14,NC,NC,error,aborted experiment
16,childlab-manchester,mb01b,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb01b,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb02,training,train1,-2,0,2,noerror,No Looking
1,childlab-manchester,mb02,training,train2,-1,0,2,noerror,No Looking
2,childlab-manchester,mb02,ADS,ADS1,1,2.092,8.178,noerror,
3,childlab-manchester,mb02,IDS,IDS1,2,0.034,2.224,noerror,
4,childlab-manchester,mb02,ADS,ADS2,3,0,2.002,noerror,No Looking
5,childlab-manchester,mb02,IDS,IDS2,4,0,2,noerror,No Looking
6,childlab-manchester,mb02,IDS,IDS3,5,0,2.002,noerror,No Looking
7,childlab-manchester,mb02,ADS,ADS3,6,0,2,noerror,No Looking
8,childlab-manchester,mb02,ADS,ADS4,7,0,2,noerror,No Looking
9,childlab-manchester,mb02,IDS,IDS4,8,0,2,noerror,No Looking
10,childlab-manchester,mb02,IDS,IDS5,9,0,2.002,noerror,No Looking
11,childlab-manchester,mb02,ADS,ADS5,10,0,2.002,noerror,No Looking
12,childlab-manchester,mb02,IDS,IDS6,11,0.038,3.828,noerror,
13,childlab-manchester,mb02,ADS,ADS6,12,0,2,noerror,No Looking
14,childlab-manchester,mb02,ADS,ADS7,13,0,2.002,noerror,No Looking
15,childlab-manchester,mb02,IDS,IDS7,14,1.302,3.972,noerror,
16,childlab-manchester,mb02,IDS,IDS8,15,0,2,noerror,No Looking
17,childlab-manchester,mb02,ADS,ADS8,16,0,2.004,noerror,No Looking
0,childlab-manchester,mb03,training,train1,-2,5.63,7.63,noerror,
1,childlab-manchester,mb03,training,train2,-1,1.912,4.266,noerror,
2,childlab-manchester,mb03,IDS,IDS5,1,1.89,3.904,noerror,
3,childlab-manchester,mb03,ADS,ADS5,2,0,2,error,"No Looking, fussing"
4,childlab-manchester,mb03,ADS,ADS7,3,0,2,error,"No Looking, fussing"
5,childlab-manchester,mb03,NA,NA,4,NC,NC,error,aborted experiment
6,childlab-manchester,mb03,NA,NA,5,NC,NC,error,aborted experiment
7,childlab-manchester,mb03,NA,NA,6,NC,NC,error,aborted experiment
8,childlab-manchester,mb03,NA,NA,7,NC,NC,error,aborted experiment
9,childlab-manchester,mb03,NA,NA,8,NC,NC,error,aborted experiment
10,childlab-manchester,mb03,NA,NA,9,NC,NC,error,aborted experiment
11,childlab-manchester,mb03,NA,NA,10,NC,NC,error,aborted experiment
12,childlab-manchester,mb03,NA,NA,11,NC,NC,error,aborted experiment
13,childlab-manchester,mb03,NA,NA,12,NC,NC,error,aborted experiment
14,childlab-manchester,mb03,NA,NA,13,NC,NC,error,aborted experiment
15,childlab-manchester,mb03,NA,NA,14,NC,NC,error,aborted experiment
16,childlab-manchester,mb03,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb03,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb04,training,train1,-2,4.396,6.396,noerror,
1,childlab-manchester,mb04,training,train2,-1,0,2.004,noerror,No Looking
2,childlab-manchester,mb04,ADS,ADS5,1,2.586,4.66,noerror,
3,childlab-manchester,mb04,IDS,IDS5,2,1.612,5.468,noerror,
4,childlab-manchester,mb04,IDS,IDS7,3,4.094,8.008,noerror,
5,childlab-manchester,mb04,ADS,ADS7,4,1.058,3.8,noerror,
6,childlab-manchester,mb04,IDS,IDS1,5,0.526,2.53,noerror,
7,childlab-manchester,mb04,ADS,ADS1,6,0,2,noerror,No Looking
8,childlab-manchester,mb04,IDS,IDS3,7,0.032,2.036,noerror,
9,childlab-manchester,mb04,ADS,ADS3,8,2.588,7.026,noerror,
10,childlab-manchester,mb04,IDS,IDS2,9,0.9,2.916,noerror,
11,childlab-manchester,mb04,ADS,ADS2,10,0,2,noerror,No Looking
12,childlab-manchester,mb04,ADS,ADS4,11,0.986,4.258,noerror,
13,childlab-manchester,mb04,IDS,IDS4,12,0,2,noerror,No Looking
14,childlab-manchester,mb04,ADS,ADS6,13,0.632,4.724,noerror,
15,childlab-manchester,mb04,IDS,IDS6,14,0,2,noerror,No Looking
16,childlab-manchester,mb04,ADS,ADS8,15,0,2,noerror,No Looking
17,childlab-manchester,mb04,IDS,IDS8,16,0,2,noerror,No Looking
0,childlab-manchester,mb05,training,train1,-2,14.946,18.006,noerror,
1,childlab-manchester,mb05,training,train2,-1,4.82,6.822,noerror,
2,childlab-manchester,mb05,IDS,IDS1,1,7,9.89,noerror,
3,childlab-manchester,mb05,ADS,ADS1,2,3.968,5.97,noerror,
4,childlab-manchester,mb05,IDS,IDS2,3,4.696,7.184,noerror,
5,childlab-manchester,mb05,ADS,ADS2,4,4.656,6.658,noerror,
6,childlab-manchester,mb05,ADS,ADS3,5,6.982,10.474,noerror,
7,childlab-manchester,mb05,IDS,IDS3,6,4.494,7.314,noerror,
8,childlab-manchester,mb05,IDS,IDS4,7,4.696,6.7,noerror,
9,childlab-manchester,mb05,ADS,ADS4,8,4.142,7.836,noerror,
10,childlab-manchester,mb05,ADS,ADS5,9,0,2,noerror,No Looking
11,childlab-manchester,mb05,IDS,IDS5,10,2.976,5.444,noerror,
12,childlab-manchester,mb05,ADS,ADS6,11,5.376,7.592,noerror,
13,childlab-manchester,mb05,IDS,IDS6,12,0,2.002,noerror,No Looking
14,childlab-manchester,mb05,IDS,IDS7,13,0,2,noerror,No Looking
15,childlab-manchester,mb05,ADS,ADS7,14,0,2,noerror,No Looking
16,childlab-manchester,mb05,ADS,ADS8,15,2.096,6.784,noerror,
17,childlab-manchester,mb05,IDS,IDS8,16,2.484,4.654,noerror,
0,childlab-manchester,mb06,training,train1,-2,4.97,9.762,noerror,
1,childlab-manchester,mb06,training,train2,-1,10.034,15.562,noerror,
2,childlab-manchester,mb06,ADS,ADS1,1,4.544,7.648,noerror,
3,childlab-manchester,mb06,NA,NA,2,NC,NC,error,aborted trial to adjust eyelink settings to find eye
4,childlab-manchester,mb06,ADS,ADS2,3,0,2.002,noerror,No Looking
5,childlab-manchester,mb06,IDS,IDS2,4,1.946,6.538,noerror,
6,childlab-manchester,mb06,IDS,IDS3,5,3.39,5.39,noerror,
7,childlab-manchester,mb06,NA,NA,6,NC,NC,error,aborted trial to adjust eyelink settings to find eye
8,childlab-manchester,mb06,ADS,ADS4,7,0.194,2.196,noerror,
9,childlab-manchester,mb06,IDS,IDS4,8,0,2.004,noerror,No Looking
10,childlab-manchester,mb06,IDS,IDS5,9,3.302,5.646,noerror,
11,childlab-manchester,mb06,ADS,ADS5,10,0.28,2.282,noerror,
12,childlab-manchester,mb06,IDS,IDS6,11,0.662,2.668,noerror,
13,childlab-manchester,mb06,ADS,ADS6,12,1.346,4.024,noerror,
14,childlab-manchester,mb06,ADS,ADS7,13,2.912,5.694,noerror,
15,childlab-manchester,mb06,IDS,IDS7,14,0,2,noerror,No Looking
16,childlab-manchester,mb06,IDS,IDS8,15,4.384,8.32,noerror,
17,childlab-manchester,mb06,ADS,ADS8,16,6.242,10.036,,
0,childlab-manchester,mb07,training,train1,-2,3.742,7.416,noerror,
1,childlab-manchester,mb07,training,train2,-1,2.642,7.98,noerror,
2,childlab-manchester,mb07,IDS,IDS5,1,6.678,9.646,noerror,
3,childlab-manchester,mb07,ADS,ADS5,2,1.802,6.764,noerror,
4,childlab-manchester,mb07,ADS,ADS7,3,3.574,3.574,noerror,
5,childlab-manchester,mb07,IDS,IDS7,4,4.222,13.26,noerror,
6,childlab-manchester,mb07,ADS,ADS1,5,14.88,18.008,noerror,
7,childlab-manchester,mb07,IDS,IDS1,6,6.304,7.216,noerror,
8,childlab-manchester,mb07,ADS,ADS3,7,2.79,4.792,noerror,
9,childlab-manchester,mb07,IDS,IDS3,8,1.834,3.836,noerror,
10,childlab-manchester,mb07,ADS,ADS2,9,5.074,7.78,noerror,
11,childlab-manchester,mb07,IDS,IDS2,10,3.65,8.562,noerror,
12,childlab-manchester,mb07,IDS,IDS4,11,2.374,2.906,noerror,
13,childlab-manchester,mb07,ADS,ADS4,12,5.456,6.252,noerror,
14,childlab-manchester,mb07,IDS,IDS6,13,0.808,4.42,noerror,
