lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time
lancaster,14mb01,training,training,1,17.62706072,18.02497912
lancaster,14mb01,training,training,2,17.60751494,18.02094845
lancaster,14mb01,IDS,IDS-1,3,17.62956739,18.000168
lancaster,14mb01,ADS,ADS-1,4,15.51610512,18.00102711
lancaster,14mb01,IDS,IDS-2,5,17.1562734,18.0143209
lancaster,14mb01,ADS,ADS-2,6,12.54347624,17.0805067
lancaster,14mb01,ADS,ADS-3,7,9.938008417,14.25142456
lancaster,14mb01,IDS,IDS-3,8,11.13916495,15.33514326
lancaster,14mb01,IDS,IDS-4,9,10.85737638,16.12188183
lancaster,14mb01,ADS,ADS-4,10,4.908960848,7.48769755
lancaster,14mb01,ADS,ADS-5,11,5.656604292,8.755962114
lancaster,14mb01,IDS,IDS-5,12,0.433711304,3.447104199
lancaster,14mb01,ADS,ADS-6,13,0.897750621,3.857250603
lancaster,14mb01,IDS,IDS-6,14,0.253857891,3.115846718
lancaster,14mb01,IDS,IDS-7,15,6.437417972,11.12017161
lancaster,14mb01,ADS,ADS-7,16,5.722800766,10.10843249
lancaster,14mb01,ADS,ADS-8,17,0,2.005143558
lancaster,14mb01,IDS,IDS-8,18,10.02109823,12.63403228
lancaster,14mb02,training,training,1,0,2.014668895
lancaster,14mb02,training,training,2,17.44796464,18.01660134
lancaster,14mb02,ADS,ADS-1,3,17.41295796,18.00349067
lancaster,14mb02,IDS,IDS-1,4,14.81377192,18.00258933
lancaster,14mb02,ADS,ADS-2,5,14.94299686,17.39734773
lancaster,14mb02,IDS,IDS-2,6,17.00695556,18.02619468
lancaster,14mb02,IDS,IDS-3,7,0.33286237,2.99044444
lancaster,14mb02,ADS,ADS-3,8,9.321265032,12.65558562
lancaster,14mb02,ADS,ADS-4,9,5.659891849,9.246271665
lancaster,14mb02,IDS,IDS-4,10,3.193718308,7.039781795
lancaster,14mb02,IDS,IDS-5,11,0.520414898,3.41391974
lancaster,14mb02,ADS,ADS-5,12,0,2.010930672
lancaster,14mb02,IDS,IDS-6,13,0,2.022818232
