lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type
isl-notredame,P18MB1,training,Train1,-2,17.03,17.03,noerror,NA
isl-notredame,P18MB1,training,Train2,-1,5.955,9.421,noerror,NA
isl-notredame,P18MB1,IDS,IDS1,1,17.317,18.025,noerror,NA
isl-notredame,P18MB1,ADS,ADS1,2,5.047,7.054,noerror,NA
isl-notredame,P18MB1,IDS,IDS2,3,14.222,16.227,noerror,NA
isl-notredame,P18MB1,ADS,ADS2,4,5.008,7.035,noerror,NA
isl-notredame,P18MB1,ADS,ADS3,5,10.764,15.079,noerror,NA
isl-notredame,P18MB1,IDS,IDS3,6,5.449,8.961,noerror,NA
isl-notredame,P18MB1,IDS,IDS4,7,8.503,10.51,noerror,NA
isl-notredame,P18MB1,ADS,ADS4,8,6.365,8.371,noerror,NA
isl-notredame,P18MB1,ADS,ADS5,9,5.663,8.208,noerror,NA
isl-notredame,P18MB1,IDS,IDS5,10,6.528,8.544,noerror,NA
isl-notredame,P18MB1,ADS,ADS6,11,7.944,9.958,noerror,NA
isl-notredame,P18MB1,IDS,IDS6,12,7.25,10.834,noerror,NA
isl-notredame,P18MB1,IDS,IDS7,13,6.984,9,noerror,NA
isl-notredame,P18MB1,ADS,ADS7,14,10.034,13.23,noerror,NA
isl-notredame,P18MB1,ADS,ADS8,15,6.736,9.957,noerror,NA
isl-notredame,P18MB1,IDS,IDS8,16,5.75,8.928,noerror,NA
isl-notredame,P19MB2,training,Train2,-2,17.04,17.04,noerror,NA
isl-notredame,P19MB2,training,Train1,-1,13.835,15.853,noerror,NA
isl-notredame,P19MB2,ADS,ADS1,1,10.993,14.854,noerror,NA
isl-notredame,P19MB2,IDS,IDS1,2,18.027,18.026,noerror,NA
isl-notredame,P19MB2,ADS,ADS2,3,4.351,7.589,noerror,NA
isl-notredame,P19MB2,IDS,IDS2,4,5.441,7.454,noerror,NA
isl-notredame,P19MB2,IDS,IDS3,5,8.638,12.656,noerror,NA
isl-notredame,P19MB2,ADS,ADS3,6,6.279,8.891,noerror,NA
isl-notredame,P19MB2,ADS,ADS4,7,7.881,13.057,noerror,NA
isl-notredame,P19MB2,IDS,IDS4,8,3.869,5.875,noerror,NA
isl-notredame,P19MB2,IDS,IDS5,9,4.421,7.644,noerror,NA
isl-notredame,P19MB2,ADS,ADS5,10,4.991,6.998,noerror,NA
isl-notredame,P19MB2,IDS,IDS6,11,6.752,11.5,noerror,NA
isl-notredame,P19MB2,ADS,ADS6,12,12.419,15.986,noerror,NA
isl-notredame,P19MB2,ADS,ADS7,13,9.583,11.587,noerror,NA
isl-notredame,P19MB2,IDS,IDS7,14,2.107,4.125,noerror,NA
isl-notredame,P19MB2,IDS,IDS8,15,2.981,5,noerror,NA
isl-notredame,P19MB2,ADS,ADS8,16,2.031,4.044,noerror,NA
isl-notredame,P20MB3,training,Train1,-2,11.365,16.335,noerror,NA
isl-notredame,P20MB3,training,Train2,-1,4.614,7.509,noerror,NA
isl-notredame,P20MB3,IDS,IDS5,1,12.053,16.361,noerror,NA
isl-notredame,P20MB3,ADS,ADS5,2,7.685,13.182,noerror,NA
