lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type
purdue-infant-speech,4209,training,train1,-2,19.13,19.13,noerror,NA
purdue-infant-speech,4209,training,train2,-1,7.35,9.35,noerror,NA
purdue-infant-speech,4209,IDS,IDS1,1,12.7,14.7,noerror,NA
purdue-infant-speech,4209,ADS,ADS1,2,8.64,10.64,noerror,NA
purdue-infant-speech,4209,IDS,IDS2,3,5.54,7.54,noerror,NA
purdue-infant-speech,4209,ADS,ADS2,4,10.33,4.06,noerror,NA
purdue-infant-speech,4209,ADS,ADS3,5,5.62,7.62,noerror,NA
purdue-infant-speech,4209,IDS,IDS3,6,2.87,4.87,noerror,NA
purdue-infant-speech,4209,IDS,IDS4,7,16.26,17.83,noerror,NA
purdue-infant-speech,4209,ADS,ADS4,8,3.66,5.66,noerror,NA
purdue-infant-speech,4209,ADS,ADS5,9,3.6,5.6,noerror,NA
purdue-infant-speech,4209,IDS,IDS5,10,5.34,8.21,noerror,NA
purdue-infant-speech,4209,ADS,ADS6,11,4.04,6.04,noerror,NA
purdue-infant-speech,4209,IDS,IDS6,12,3.14,5.14,noerror,NA
purdue-infant-speech,4209,IDS,IDS7,13,4.43,6.43,noerror,NA
purdue-infant-speech,4209,ADS,ADS7,14,5.25,7.25,noerror,NA
purdue-infant-speech,4209,ADS,ADS8,15,7.32,9.32,noerror,NA
purdue-infant-speech,4209,IDS,IDS8,16,3.74,5.74,noerror,NA
purdue-infant-speech,4214,training,train1,-2,10.42,12.42,noerror,NA
purdue-infant-speech,4214,training,train2,-1,16.6,19.13,noerror,NA
purdue-infant-speech,4214,ADS,ADS1,1,12.02,16.87,noerror,NA
purdue-infant-speech,4214,IDS,IDS1,2,16.79,17.83,noerror,NA
purdue-infant-speech,4214,ADS,ADS2,3,4.32,6.32,noerror,NA
purdue-infant-speech,4214,IDS,IDS2,4,6.32,9.56,noerror,NA
purdue-infant-speech,4214,IDS,IDS3,5,2.9,4.9,noerror,NA
purdue-infant-speech,4214,ADS,ADS3,6,6.87,10.06,noerror,NA
purdue-infant-speech,4214,ADS,ADS4,7,2.04,4.04,noerror,NA
purdue-infant-speech,4214,IDS,IDS4,8,NC,NC,error,fussed
purdue-infant-speech,4214,IDS,IDS5,9,NC,NC,error,fussed
purdue-infant-speech,4214,ADS,ADS5,10,NC,NC,error,fussed
purdue-infant-speech,4214,IDS,IDS6,11,NC,NC,error,fussed
purdue-infant-speech,4214,ADS,ADS6,12,NC,NC,error,fussed
purdue-infant-speech,4214,ADS,ADS7,13,NC,NC,error,fussed
purdue-infant-speech,4214,IDS,IDS7,14,NC,NC,error,fussed
purdue-infant-speech,4214,IDS,IDS8,15,NC,NC,error,fussed
purdue-infant-speech,4214,ADS,ADS8,16,NC,NC,error,fussed
purdue-infant-speech,4182,training,train1,-2,4.73,6.73,noerror,NA
purdue-infant-speech,4182,training,train2,-1,19.13,19.13,noerror,NA
purdue-infant-speech,4182,IDS,IDS5,1,14.17,17.83,noerror,NA
purdue-infant-speech,4182,ADS,ADS5,2,4.15,6.15,noerror,NA
purdue-infant-speech,4182,ADS,ADS7,3,6.2,8.2,noerror,NA
purdue-infant-speech,4182,IDS,IDS7,4,8.62,11.82,noerror,NA
purdue-infant-speech,4182,ADS,ADS1,5,17.83,17.83,noerror,NA
purdue-infant-speech,4182,IDS,IDS1,6,16.08,17.83,noerror,NA
purdue-infant-speech,4182,ADS,ADS3,7,3.16,5.16,noerror,NA
purdue-infant-speech,4182,IDS,IDS3,8,8.05,10.05,noerror,NA
purdue-infant-speech,4182,ADS,ADS2,9,3.37,5.37,noerror,NA
purdue-infant-speech,4182,IDS,IDS2,10,7.66,10.46,noerror,NA
purdue-infant-speech,4182,IDS,IDS4,11,17.64,17.83,noerror,NA
purdue-infant-speech,4182,ADS,ADS4,12,3.75,5.75,noerror,NA
purdue-infant-speech,4182,IDS,IDS6,13,1.94,3.94,noerror,NA
purdue-infant-speech,4182,ADS,ADS6,14,6.47,8.47,noerror,NA
purdue-infant-speech,4182,IDS,IDS8,15,7.9,11.8,noerror,NA
purdue-infant-speech,4182,ADS,ADS8,16,10.55,12.55,noerror,NA
purdue-infant-speech,4222,training,train1,-2,8.11,11,noerror,NA
purdue-infant-speech,4222,training,train2,-1,16.31,19.13,noerror,NA
purdue-infant-speech,4222,ADS,ADS5,1,15.69,17.83,noerror,NA
purdue-infant-speech,4222,IDS,IDS5,2,8.42,10.42,noerror,NA
purdue-infant-speech,4222,IDS,IDS7,3,6.86,8.86,noerror,NA
purdue-infant-speech,4222,ADS,ADS7,4,10.45,14.1,noerror,NA
purdue-infant-speech,4222,IDS,IDS1,5,2.16,5.2,noerror,NA
purdue-infant-speech,4222,ADS,ADS1,6,8.11,13.24,noerror,NA
purdue-infant-speech,4222,IDS,IDS3,7,3.82,5.82,noerror,NA
purdue-infant-speech,4222,ADS,ADS3,8,3.99,6.88,noerror,NA
purdue-infant-speech,4222,IDS,IDS2,9,0.73,2.73,noerror,NA
purdue-infant-speech,4222,ADS,ADS2,10,4.8,6.8,noerror,NA
purdue-infant-speech,4222,ADS,ADS4,11,2.35,5.05,noerror,NA
purdue-infant-speech,4222,IDS,IDS4,12,3.9,5.91,noerror,NA
purdue-infant-speech,4222,ADS,ADS6,13,3.35,6.94,noerror,NA
purdue-infant-speech,4222,IDS,IDS6,14,5.12,7.12,noerror,NA
purdue-infant-speech,4222,ADS,ADS8,15,4.76,6.76,noerror,NA
purdue-infant-speech,4222,IDS,IDS8,16,4.62,6.62,noerror,NA
purdue-infant-speech,4206,training,train1,-2,4.82,6.82,noerror,NA
purdue-infant-speech,4206,training,train2,-1,2.29,4.29,noerror,NA
purdue-infant-speech,4206,IDS,IDS1,1,16.07,17.83,noerror,NA
purdue-infant-speech,4206,ADS,ADS1,2,4.66,6.66,noerror,NA
purdue-infant-speech,4206,IDS,IDS2,3,14.02,17.83,noerror,NA
purdue-infant-speech,4206,ADS,ADS2,4,7.84,9.85,noerror,NA
purdue-infant-speech,4206,ADS,ADS3,5,14.62,17.45,noerror,NA
purdue-infant-speech,4206,IDS,IDS3,6,17.84,17.84,noerror,NA
purdue-infant-speech,4206,IDS,IDS4,7,4.18,6.18,noerror,NA
purdue-infant-speech,4206,ADS,ADS4,8,7.06,9.87,noerror,NA
purdue-infant-speech,4206,ADS,ADS5,9,17.83,17.83,noerror,NA
purdue-infant-speech,4206,IDS,IDS5,10,7.69,11.59,noerror,NA
purdue-infant-speech,4206,ADS,ADS6,11,5.37,7.37,noerror,NA
purdue-infant-speech,4206,IDS,IDS6,12,NC,NC,error,fussed
purdue-infant-speech,4206,IDS,IDS7,13,NC,NC,error,fussed
purdue-infant-speech,4206,ADS,ADS7,14,NC,NC,error,fussed
purdue-infant-speech,4206,ADS,ADS8,15,NC,NC,error,fussed
purdue-infant-speech,4206,IDS,IDS8,16,NC,NC,error,fussed
purdue-infant-speech,4204,training,train1,-2,17.97,19.13,noerror,NA
purdue-infant-speech,4204,training,train2,-1,19.13,19.13,noerror,NA
purdue-infant-speech,4204,ADS,ADS1,1,15.95,17.83,noerror,NA
purdue-infant-speech,4204,IDS,IDS1,2,8.49,10.49,noerror,NA
