lab;subid;trial_type;stimulus;trial_num;total_trial_time;looking_time;trial_error;trial_error_type;notes
weltentdecker-zurich;mb_12524;training;train2;-2;10.75;6.90;noerror;NA;NA
weltentdecker-zurich;mb_12524;training;train1;-1;4.72;2.03;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS1;1;8.08;5.67;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS1;2;3.11;1.06;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS2;3;7.99;3.65;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS2;4;4.38;2.06;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS3;5;3.88;1.00;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS3;6;5.43;2.86;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS4;7;2.76;0.68;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS4;8;3.31;0.61;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS5;9;7.69;1.55;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS5;10;3.64;0.94;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS6;11;6.60;4.06;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS6;12;2.02;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS7;13;3.60;1.38;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS7;14;4.17;0.07;noerror;NA;NA
weltentdecker-zurich;mb_12524;IDS;IDS8;15;4.00;1.43;noerror;NA;NA
weltentdecker-zurich;mb_12524;ADS;ADS8;16;5.88;3.78;noerror;NA;NA
weltentdecker-zurich;mb_12539;training;train1;-2;15.39;11.99;noerror;NA;NA
weltentdecker-zurich;mb_12539;training;train2;-1;3.99;1.76;noerror;NA;NA
weltentdecker-zurich;mb_12539;IDS;IDS1;1;18.00;16.02;noerror;NA;NA
weltentdecker-zurich;mb_12539;ADS;ADS1;2;12.31;8.26;noerror;NA;NA
weltentdecker-zurich;mb_12539;IDS;IDS2;3;3.06;0.71;noerror;NA;NA
weltentdecker-zurich;mb_12539;ADS;ADS2;4;4.11;1.86;error;parent intervention;parent points to screen
weltentdecker-zurich;mb_12539;ADS;ADS3;5;2.31;0.26;error;to fussy;NA
weltentdecker-zurich;mb_12539;IDS;IDS3;6;8.45;4.86;noerror;NA;NA
weltentdecker-zurich;mb_12539;IDS;IDS4;7;3.96;1.83;noerror;NA;NA
weltentdecker-zurich;mb_12539;ADS;ADS4;8;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12539;ADS;ADS5;9;6.35;3.93;noerror;NA;NA
weltentdecker-zurich;mb_12539;IDS;IDS5;10;6.55;2.61;noerror;NA;NA
weltentdecker-zurich;mb_12539;ADS;ADS6;11;3.44;1.17;noerror;NA;NA
weltentdecker-zurich;mb_12539;IDS;IDS6;12;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12539;IDS;IDS7;13;14.53;5.53;noerror;NA;NA
weltentdecker-zurich;mb_12539;ADS;ADS7;14;11.31;6.36;noerror;NA;NA
weltentdecker-zurich;mb_12539;ADS;ADS8;15;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12539;IDS;IDS8;16;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12541;training;train2;-2;8.08;5.02;noerror;NA;NA
weltentdecker-zurich;mb_12541;training;train1;-1;11.60;9.60;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS1;1;10.72;8.72;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS1;2;2.89;0.83;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS2;3;8.90;3.48;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS2;4;3.48;1.31;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS3;5;2.21;0.16;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS3;6;6.20;3.02;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS4;7;8.37;3.17;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS4;8;15.33;7.04;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS5;9;4.64;2.38;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS5;10;3.25;1.18;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS6;11;3.61;1.14;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS6;12;6.59;3.99;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS7;13;6.12;0.95;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS7;14;4.38;0.71;noerror;NA;NA
weltentdecker-zurich;mb_12541;IDS;IDS8;15;17.19;4.51;noerror;NA;NA
weltentdecker-zurich;mb_12541;ADS;ADS8;16;8.96;1.57;noerror;NA;NA
weltentdecker-zurich;mb_12569;training;train2;-2;6.58;4.29;noerror;NA;NA
weltentdecker-zurich;mb_12569;training;train1;-1;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12569;ADS;ADS1;1;9.32;2.75;noerror;NA;NA
weltentdecker-zurich;mb_12569;IDS;IDS1;2;9.45;1.51;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS2;3;4.28;0.48;noerror;NA;NA
weltentdecker-zurich;mb_12569;IDS;IDS2;4;3.73;0.72;noerror;NA;NA
weltentdecker-zurich;mb_12569;IDS;IDS3;5;11.25;9.25;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS3;6;3.55;1.47;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS4;7;9.31;3.11;noerror;NA;NA
weltentdecker-zurich;mb_12569;IDS;IDS4;8;14.42;7.20;noerror;NA;NA
weltentdecker-zurich;mb_12569;IDS;IDS5;9;3.98;1.84;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS5;10;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12569;IDS;IDS6;11;11.68;3.61;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS6;12;2.06;0.06;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS7;13;5.28;1.26;noerror;NA;NA
weltentdecker-zurich;mb_12569;IDS;IDS7;14;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12569;IDS;IDS8;15;3.94;1.54;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS8;16;5.51;0.48;noerror;NA;NA
weltentdecker-zurich;mb_12588;training;train2;-2;13.56;8.78;noerror;NA;NA
weltentdecker-zurich;mb_12588;training;train1;-1;15.11;13.11;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS5;1;6.01;3.69;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS5;2;5.21;3.01;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS7;3;5.70;1.89;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS7;4;3.95;0.99;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS1;5;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS1;6;2.00;0.00;noerror;NA;NA
