lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes,,
weescience-edinburgh,MB01,training,train1,-2,17.55,18,noerror,NA,NA,,
weescience-edinburgh,MB01,training,train2,-1,18,18,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS1,1,5.78,18,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS1,2,8.82,16.77,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS2,3,6.65,8.65,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS2,4,14.71,18,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS3,5,11.75,16.22,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS3,6,15.17,18,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS4,7,16.12,18,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS4,8,9.5,12.16,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS5,9,11.77,18,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS5,10,13.56,18,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS6,11,3.99,5.99,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS6,12,16.44,18,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS7,13,3.42,13.84,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS7,14,14.84,18,noerror,NA,NA,,
weescience-edinburgh,MB01,ADS,ADS8,15,12.8,18,noerror,NA,NA,,
weescience-edinburgh,MB01,IDS,IDS8,16,15.04,18,noerror,NA,NA,,
weescience-edinburgh,MB02,training,train2,-2,10.88,14.54,noerror,NA,NA,,
weescience-edinburgh,MB02,training,train1,-1,7.49,11.73,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS1,1,15.75,18,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS1,2,9.45,18,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS2,3,9.95,12.93,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS2,4,13.15,16.71,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS3,5,3.15,5.16,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS3,6,7.26,11.83,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS4,7,1.69,5.05,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS4,8,5.36,8.25,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS5,9,2.69,4.69,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS5,10,4.03,6.04,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS6,11,5.88,10.96,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS6,12,2.23,4.23,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS7,13,11.9,18,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS7,14,5.46,11.8,noerror,NA,NA,,
weescience-edinburgh,MB02,IDS,IDS8,15,3.86,6.9,noerror,NA,NA,,
weescience-edinburgh,MB02,ADS,ADS8,16,2.2,4.2,noerror,NA,NA,,
weescience-edinburgh,MB03,training,train1,-2,18,18,noerror,NA,NA,,
weescience-edinburgh,MB03,training,train2,-1,10.16,18,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,IDS,IDS5,1,14.59,17.36,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,ADS,ADS5,2,15.87,18,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,ADS,ADS7,3,7.94,9.94,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,IDS,IDS7,4,12.41,14.42,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,ADS,ADS1,5,15.74,18,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,IDS,IDS1,6,10.06,18,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,ADS,ADS3,7,7.65,11.04,noerror,NA,holding onto hankerchief,,
weescience-edinburgh,MB03,IDS,IDS3,8,6.17,8.17,noerror,NA,hankerchief dropped ,,
weescience-edinburgh,MB03,ADS,ADS2,9,10.93,16.34,noerror,NA,NA,,
weescience-edinburgh,MB03,IDS,IDS2,10,9.82,13.34,noerror,NA,NA,,
weescience-edinburgh,MB03,IDS,IDS4,11,2.98,4.98,noerror,NA,NA,,
weescience-edinburgh,MB03,ADS,ADS4,12,3.16,5.16,noerror,NA,NA,,
weescience-edinburgh,MB03,IDS,IDS6,13,5.21,7.21,noerror,NA,NA,,
weescience-edinburgh,MB03,ADS,ADS6,14,7.08,9.8,noerror,NA,NA,,
weescience-edinburgh,MB03,IDS,IDS8,15,4.61,6.71,noerror,NA,NA,,
weescience-edinburgh,MB03,ADS,ADS8,16,5.94,9.42,noerror,NA,NA,,
weescience-edinburgh,MB04,training,train2,-2,18,18,noerror,NA,NA,,
weescience-edinburgh,MB04,training,train1,-1,16.79,18,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS5,1,6.23,18,noerror,NA,NA,,
weescience-edinburgh,MB04,IDS,IDS5,2,8.92,14.25,noerror,NA,NA,,
weescience-edinburgh,MB04,IDS,IDS7,3,6.82,9.35,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS7,4,11.79,15.2,noerror,NA,NA,,
weescience-edinburgh,MB04,IDS,IDS1,5,15.76,18,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS1,6,15.42,18,noerror,NA,NA,,
weescience-edinburgh,MB04,IDS,IDS3,7,16.62,18,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS3,8,9.19,12.8,noerror,NA,brief cry,,
weescience-edinburgh,MB04,IDS,IDS2,9,13.43,18,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS2,10,6.88,9.38,noerror,NA,brief cry,,
weescience-edinburgh,MB04,ADS,ADS4,11,13.7,18,noerror,NA,NA,,
weescience-edinburgh,MB04,IDS,IDS4,12,9.08,12.63,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS6,13,14.31,18,noerror,NA,NA,,
weescience-edinburgh,MB04,IDS,IDS6,14,8.87,11.36,noerror,NA,NA,,
weescience-edinburgh,MB04,ADS,ADS8,15,5.7,7.7,noerror,NA,brief cry,,
weescience-edinburgh,MB04,IDS,IDS8,16,14.54,18,noerror,NA,NA,,
weescience-edinburgh,MB05,training,train1,-2,5.64,7.64,noerror,NA,wriggly,,
weescience-edinburgh,MB05,training,train2,-1,1.88,3.88,noerror,NA,wriggly,,
weescience-edinburgh,MB05,IDS,IDS1,1,14.12,18,noerror,NA,NA,,
weescience-edinburgh,MB05,ADS,ADS1,2,17.91,18,noerror,NA,NA,,
weescience-edinburgh,MB05,IDS,IDS2,3,17.67,18,noerror,NA,NA,,
weescience-edinburgh,MB05,ADS,ADS2,4,10.71,14.31,noerror,NA,sock fell off,,
weescience-edinburgh,MB05,ADS,ADS3,5,16.21,18,noerror,NA,crying,,
weescience-edinburgh,MB05,IDS,IDS3,6,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS4,7,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS4,8,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS5,9,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS5,10,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS6,11,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS6,12,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS7,13,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS7,14,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS8,15,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS8,16,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB06,training,train2,-2,15.71,18,noerror,NA,NA,,
weescience-edinburgh,MB06,training,train1,-1,16.13,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS1,1,15.99,18,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS1,2,8.04,17.26,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS2,3,9.25,12.98,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS2,4,11.95,16.09,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS3,5,14.67,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS3,6,5.28,7.28,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS4,7,10.75,16.2,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS4,8,13.18,18,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS5,9,14.96,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS5,10,3.49,12.93,noerror,NA,very excited,,
weescience-edinburgh,MB06,IDS,IDS6,11,16.26,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS6,12,15.5,18,noerror,NA,NA,,
