lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylablang-essex,mb12_15_02,Train1,training,-2,7.236,11.887,noerror,NA,NA
babylablang-essex,mb12_15_02,Train2,training,-1,0,2.007,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_02,ADS,ADS1,1,1.116,5.822,noerror,NA,NA
babylablang-essex,mb12_15_02,IDS,IDS1,2,3.776,6.822,noerror,NA,NA
babylablang-essex,mb12_15_02,ADS,ADS2,3,0.62,6.991,noerror,NA,NA
babylablang-essex,mb12_15_02,IDS,IDS2,4,0,2.013,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_02,IDS,IDS3,5,0,2.006,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_02,ADS,ADS3,6,0,2.01,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_02,ADS,ADS4,7,0,2.016,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_02,ADS,ADS4,8,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,ADS,ADS5,9,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,IDS,IDS5,10,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,ADS,ADS6,11,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,IDS,IDS6,12,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,IDS,IDS7,13,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,ADS,ADS7,14,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,ADS,ADS8,15,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_02,IDS,IDS8,16,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_03,Train2,training,-2,3.915,6.112,noerror,NA,NA
babylablang-essex,mb12_15_03,Train1,training,-1,2.203,4.496,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS5,1,7.974,14.582,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS5,2,1.778,4.086,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS7,3,1.175,3.459,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS7,4,1.322,3.435,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS1,5,6.384,14.695,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS1,6,0.867,2.93,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS3,7,0.797,2.87,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS3,8,4.431,9.054,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS2,9,1.074,3.266,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS2,10,3.363,6.053,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS4,11,0.593,2.638,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS4,12,1.805,5.971,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS6,13,0.378,2.428,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS6,14,2.896,5.402,noerror,NA,NA
babylablang-essex,mb12_15_03,IDS,IDS8,15,8.196,16.797,noerror,NA,NA
babylablang-essex,mb12_15_03,ADS,ADS8,16,2.275,4.402,noerror,NA,NA
babylablang-essex,mb12_15_04,Train2,training,-2,0.702,2.746,noerror,NA,NA
babylablang-essex,mb12_15_04,Train1,training,-1,0.462,2.688,noerror,NA,NA
babylablang-essex,mb12_15_04,ADS,ADS5,1,0,2.012,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_04,IDS,IDS5,2,0,2.01,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_04,IDS,IDS7,3,0,2.006,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_04,ADS,ADS7,4,2.774,4.809,noerror,NA,NA
babylablang-essex,mb12_15_04,IDS,IDS1,5,3.925,6.913,noerror,NA,NA
babylablang-essex,mb12_15_04,ADS,ADS1,6,0,2.01,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_04,IDS,IDS3,7,0,2.008,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_04,ADS,ADS3,8,3.17,8.524,noerror,NA,NA
babylablang-essex,mb12_15_04,IDS,IDS2,9,2.988,7.501,noerror,NA,NA
babylablang-essex,mb12_15_04,ADS,ADS2,10,7.55,9.991,noerror,NA,NA
babylablang-essex,mb12_15_04,ADS,ADS4,11,1.08,3.191,noerror,NA,NA
babylablang-essex,mb12_15_04,IDS,IDS4,12,1.712,3.805,noerror,NA,NA
babylablang-essex,mb12_15_04,ADS,ADS6,13,0,2.008,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_04,IDS,IDS6,14,10.722,13.505,noerror,NA,NA
babylablang-essex,mb12_15_04,ADS,ADS8,15,2.221,4.322,noerror,NA,NA
babylablang-essex,mb12_15_04,IDS,IDS8,16,0.19,2.229,noerror,NA,NA
babylablang-essex,mb12_15_05,Train1,training,-2,14.802,18.002,noerror,NA,NA
babylablang-essex,mb12_15_05,Train2,training,-1,4.739,9.216,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS1,1,2.267,4.376,noerror,NA,NA
babylablang-essex,mb12_15_05,ADS,ADS1,2,2.088,4.187,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS2,3,1.598,3.763,noerror,NA,NA
babylablang-essex,mb12_15_05,ADS,ADS2,4,1.466,3.616,noerror,NA,NA
babylablang-essex,mb12_15_05,ADS,ADS3,5,1.47,3.606,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS3,6,4.855,10.8,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS4,7,1.661,3.821,noerror,NA,NA
babylablang-essex,mb12_15_05,ADS,ADS4,8,3.16,6.281,noerror,NA,NA
babylablang-essex,mb12_15_05,ADS,ADS5,9,2.299,4.751,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS5,10,2.739,6.485,noerror,NA,NA
babylablang-essex,mb12_15_05,ADS,ADS6,11,3.438,7.238,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS6,12,1.352,3.873,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS7,13,0,2.012,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_05,ADS,ADS7,14,0,2.016,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_05,ADS,ADS8,15,0.3,2.604,noerror,NA,NA
babylablang-essex,mb12_15_05,IDS,IDS8,16,0,2.006,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_06,Train1,training,-2,5.804,9.738,noerror,NA,NA
babylablang-essex,mb12_15_06,Train2,training,-1,0.403,2.45,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS1,1,0.769,2.828,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS1,2,4.964,7.155,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS2,3,1.584,5.268,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS2,4,4.88,7.062,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS3,5,1.687,3.983,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS3,6,1.782,5.343,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS4,7,6.796,9.743,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS4,8,0.847,3.08,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS5,9,5.3,12.172,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS5,10,0,2.011,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_06,IDS,IDS6,11,2.913,8.486,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS6,12,0.301,2.364,noerror,NA,NA
babylablang-essex,mb12_15_06,ADS,ADS7,13,1.28,6.23,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS7,14,1.236,5.722,noerror,NA,NA
babylablang-essex,mb12_15_06,IDS,IDS8,15,0,2.008,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_06,ADS,ADS8,16,5.182,7.985,noerror,NA,NA
babylablang-essex,mb12_15_07,Train1,training,-2,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,Train2,training,-1,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS1,1,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS1,2,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS2,3,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS2,4,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS3,5,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS3,6,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS4,7,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS4,8,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS5,9,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS5,10,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS6,11,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS6,12,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS7,13,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS7,14,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,ADS,ADS8,15,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_07,IDS,IDS8,16,NC,NC,error,child did not look at the screen and cried,NA
babylablang-essex,mb12_15_08,Train2,training,-2,3.534,6.432,noerror,NA,NA
babylablang-essex,mb12_15_08,Train1,training,-1,1.191,3.243,noerror,NA,NA
babylablang-essex,mb12_15_08,ADS,ADS5,1,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS5,2,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS7,3,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS7,4,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS1,5,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS1,6,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS3,7,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS3,8,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS2,9,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS2,10,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS4,11,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS4,12,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS6,13,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS6,14,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,ADS,ADS8,15,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_08,IDS,IDS8,16,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_09,Train1,training,-2,0,2.005,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,Train2,training,-1,0.394,3.25,noerror,NA,NA
babylablang-essex,mb12_15_09,IDS,IDS1,1,0,2.012,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS1,2,0,2.011,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,IDS,IDS2,3,0,6.496,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS2,4,0,2.009,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS3,5,0,3.294,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,IDS,IDS3,6,0,3.417,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,IDS,IDS4,7,0,2.014,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS4,8,0,3.321,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS5,9,0.284,6.128,noerror,NA,NA
babylablang-essex,mb12_15_09,IDS,IDS5,10,0.26,3.629,noerror,NA,NA
babylablang-essex,mb12_15_09,ADS,ADS6,11,0,2.009,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,IDS,IDS6,12,0,2.007,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,IDS,IDS7,13,0,2.01,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS7,14,0,2.013,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,ADS,ADS8,15,0,2.441,error,child did not look at the screen following AG,NA
babylablang-essex,mb12_15_09,IDS,IDS8,16,NC,NC,error,experiment ended early,NA
babylablang-essex,mb12_15_10,Train1,training,-2,3.66,5.843,noerror,NA,NA
babylablang-essex,mb12_15_10,Train2,training,-1,2.973,5.044,noerror,NA,NA
babylablang-essex,mb12_15_10,IDS,IDS1,1,0.964,3.04,noerror,NA,NA
babylablang-essex,mb12_15_10,ADS,ADS1,2,8.052,12.38,noerror,NA,NA
babylablang-essex,mb12_15_10,IDS,IDS2,3,4.437,8.731,noerror,NA,NA
